CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
26.614.291/0001-00;2023-06-01;1;104914;8134118;1;0.9603;0.0397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.846.134/0001-11;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6952.30447539;1;0;1
26.846.280/0001-47;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11587.8359302;1;0;1
27.445.482/0001-40;2023-06-01;1;306;376563;0.108990738060781;0.168553469140622;0.831446530859378;1;297766;0.0861840810419682;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2780671;0.80482518089725;0;1
27.539.651/0001-00;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;113.9616818;0.3765;0.3765;;;;;;;1;18871.97617436;0.6235;0.6235;
27.882.134/0001-30;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4207.54971577;1;0;1
28.267.696/0001-36;2023-06-01;1;37399;3708168;1;0.907247460201372;0.0927525397986283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.516.325/0001-40;2023-06-01;1;44756;6416725.00008701;0.8974;0.798676;0.098715;;;;;;1;733697;0.1026;0;0.102609;;;;;;;;;;;;;;;;;;;;;;;;;
28.737.771/0001-85;2023-06-01;1;135094;9233726;0.93644480764788;0.878617269917689;0.0578275377301908;1;626680;0.0635551923521202;0;0.0635551923521202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.757.546/0001-00;2023-06-01;1;325070;25117345;1;0.753469246052877;0.246530753947123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.830.325/0001-10;2023-06-01;1;288674;36433827;1;0.906780723309687;0.0932192766903131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.899.178/0001-35;2023-06-01;1;38;591617.57;0.5505;0.427;0.1235;;;;;;;;;;;1;181171.846639;0.1686;0;0.1686;1;301867.25099415;0.2809;0;0.2809;;;;;;;;;;;;;;;
29.467.977/0001-03;2023-06-01;1;135000;13438908;1;0.873849348473849;0.126150651526151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.852.732/0001-91;2023-06-01;1;192453;103220707;1;0.8859;0.1141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.091.444/0001-40;2023-06-01;1;16220;4533315;1;0.95;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.091.506/0001-14;2023-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1858610;1;;1
30.130.708/0001-28;2023-06-01;1;14901;18490843;1;0.91;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.166.700/0001-11;2023-06-01;1;34280;5252384;0.946920785374785;0.737582579085181;0.209338206289604;1;294420;0.0530792146252148;0;0.0530792146252148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.629.603/0001-18;2023-06-01;1;74695;11775177;1;0.849336871963793;0.150663128036207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.816.679/0001-52;2023-06-01;1;1;95.92;0.0004;0.0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;238616.84;0.9996;0;0.9996
30.846.692/0001-54;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1385401.1716906;1;0;1
30.982.880/0001-00;2023-06-01;1;8967;904050;1;0.8696;0.1304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.161.410/0001-48;2023-06-01;1;1448;1528615;1;0.9614;0.0386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.373.514/0001-16;2023-06-01;1;2;59835.62;0.0049;0.0049;0;3;2496679.63;0.2041;0.0628;0.1413;0;0;0;0;0;1;2077150.73;0.1698;0;0.1698;1;3081686.29;0.2519;0;0.2519;1;4516380.4;0.3693;0;0.3693;0;0;0;0;0;0;0;0;0;0
31.544.514/0001-31;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;33310084.5539562;0.5232;0;0.5232;0;0;0;0;0;1;30356186.7760437;0.4768;0;0.4768;0;0;0;0;0
32.317.313/0001-64;2023-06-01;1;477;135506;0.92;0.91;0.01;1;12194.99;0.08;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32.400.250/0001-05;2023-06-01;1;18279;14723970;1;0.996;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32.400.264/0001-29;2023-06-01;1;1453;145788;0.1819;0.8579;0.1421;0;0;0;0;0;0;0;0;0;0;1;150010;0.1872;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;505600;0.6309;0;1
32.441.656/0001-36;2023-06-01;1;83;97472.38245132;0.714280403725423;0.402157638728338;0.312122764997085;4;38989.96754868;0.285719596274577;0.221628903503421;0.0640906927711563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32.527.552/0001-49;2023-06-01;1;196;65392;0.7838;0.9863;0.0137;3;18040;0.2162;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32.527.626/0001-47;2023-06-01;1;3516;1143495;0.5624;0.4627;0.5373;1;158329;0.0779;0;1;1;209078;0.1028;0;1;;;;;;1;522197;0.2568;0;1;;;;;;;;;;;;;;;
32.527.683/0001-26;2023-06-01;1;15315;2109169;1;0.946383;0.053617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32.667.306/0001-92;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10000;0.281183218985491;0.281183218985491;0;0;0;0;0;0;0;0;0;0;0;1;25564;0.718816781014509;0.718816781014509;0
32.754.734/0001-52;2023-06-01;1;23321;4099974;0.813486904761905;0.62677619047619;0.186710714285714;1;293953;0.0583240079365079;0;0.0583240079365079;1;646073;0.128189087301587;0;0.128189087301587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32.774.914/0001-04;2023-06-01;1;352;281055;0.1366;0.1366;0;2;351001;0.1706;0;0.1706;1;324360;0.1576;0;0.1576;1;401409;0.1951;0;0.1951;1;700100;0.3402;0;0.3402;;0;0;0;0;;0;0;0;0;;0;0;0;0
32.892.018/0001-31;2023-06-01;1;157081;15780613;1;0.8244;0.1756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32.903.621/0001-71;2023-06-01;1;29611;4993049;0.3944;0.3562;0.0382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7667018;0.6056;0;0.6056
32.903.661/0001-13;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3372642.72;1;0;1
33.046.142/0001-49;2023-06-01;2;1544;1195662;0.2777;0.0414;0.2363;3;966400;0.2245;0;0.2245;0;0;0;0;0;0;0;0;0;0;2;2143017;0.4978;0;0.4978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
