CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
19.249.956/0001-50;2023-06-01;1;47;48;0.0033;0.5833;0.4167;5;7031.5;0.49;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;7270.5;0.5066551;0;1
19.249.989/0001-08;2023-06-01;1;963;206275;0.3828;0.8515;0.1485;2;56796;0.1054;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;275800;0.5118;1;0
19.872.887/0001-36;2023-06-01;1;65;71759;0.137998076923077;0.0966596153846154;0.0413384615384615;3;123080;0.236692307692308;0.054;0.182692307692308;2;115161;0.221463461538462;0;0.221463461538462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;210000;0.403846153846154;0;0.403846153846154;0;0;0;0;0
20.019.120/0001-48;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1638907;1;1;0
20.132.453/0001-89;2023-06-01;1;56;565185.8032;0.6501;0.6501;0;5;244083.9075;0.3499;0.3499;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.173.064/0001-00;2023-06-01;1;21;7107;0.1418;0.0842;0.0576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;43000;0.8582;0;0.8582;0;0;0;0;0
20.990.694/0001-69;2023-06-01;1;1;2973.52;0.016141;0;0;2;23566.682012;0.127923;0;0;;;;;;;;;;;4;157685.63143527;0.8559;0;0;;;;;;;;;;;;;;;
21.500.500/0001-62;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1752306;1;0;1
21.500.514/0001-86;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1780984;1;0;1
22.103.617/0001-75;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16993864.971405;0.19999884453048;0;0.199999;1;18690414.5287655;0.219965341365175;0;0.219965;0;0;0;0;0;0;0;0;0;0;1;49285536.2570156;0.580035814104345;0;0.580036
22.459.737/0001-00;2023-06-01;1;36;553024;0.373345503103426;0.00982470400319727;0.363520799100229;1;140557;0.0948897767180236;0;0.0948897767180236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;787685;0.53176472017855;0;0.53176472017855
23.648.935/0001-84;2023-06-01;1;113901;16960024;1;0.775592593501047;0.224407406498953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.740.595/0001-17;2023-06-01;1;3155;845672;0.4028;0.9069;0.0931;2;228472;0.1089;1;0;;;;;;;;;;;;;;;;;;;;;1;1024656;0.4883;0;1;;;;;
23.876.086/0001-16;2023-06-01;1;1;2500;0.0116455160803615;0;0;2;40000;0.186328257285784;0;0;2;53500;0.249214044119736;0;0;2;70000;0.326074450250122;0;0;1;48674.9;0.226737732263995;0;0;;;;;;;;;;;;;;;
23.964.843/0001-03;2023-06-01;2;220;112442.31;0.9058;0.7692;0.1366;1;11695;0.09421;0;0.0942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.960.430/0001-13;2023-06-01;1;69685;80078186;1;0.88;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.091.656/0001-50;2023-06-01;1;28763;3252384;1;0.9114;0.0886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.269.251/0001-60;2023-06-01;1;;;;;;1;2307.947494;0.0722;0;0.0722;;;;;;;;;;;;;;;;;;;;;;;;;;1;29669.37012;0.9278;0;0.9278
26.314.437/0001-93;2023-06-01;1;49;364.90433;0.676454800188097;0.568370212374737;0.10808458781336;5;174.532052;0.323545199811903;0.0718989343214155;0.251646265490487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
